obi,hedge,kill,seed,abertura,meta,resto,total,nkill
False,False,True,20240105,9.150000000008731,-357.0599999999977,84.31999999999243,-263.5899999999965,600
False,False,True,20240106,-2.429999999993015,-407.0,97.52999999998428,-311.90000000000873,224
False,False,True,20240107,-4.4100000000034925,-556.6399999999994,113.80000000000291,-447.25,473
False,False,True,20240108,-3.3000000000029104,-524.3500000000058,138.66000000001804,-388.9899999999907,243
False,False,True,20240109,-30.020000000004075,-286.1299999999901,56.30999999999767,-259.8399999999965,255
False,False,True,20240110,11.819999999992433,-330.8600000000006,32.870000000009895,-286.16999999999825,331
False,False,True,20240111,20.680000000007567,-1002.9199999999983,62.79999999998836,-919.4400000000023,786
False,False,True,20240112,11.330000000001746,-508.96000000002095,116.24000000000524,-381.39000000001397,465
False,False,True,20240113,-4.759999999994761,-488.8999999999942,41.72999999998137,-451.93000000000757,495
False,False,True,20240114,-5.7700000000040745,-254.95999999999185,11.619999999995343,-249.11000000000058,190
False,False,True,20240115,5.070000000006985,-569.9500000000116,100.00000000001455,-464.8799999999901,347
False,False,True,20240116,6.3399999999965075,-251.80999999999767,127.69999999999709,-117.77000000000407,174
False,False,True,20240117,6.240000000005239,-412.1600000000035,37.779999999998836,-368.1399999999994,362
False,False,True,20240118,-25.30999999999767,-289.8500000000058,50.85000000000582,-264.3099999999977,111
False,False,True,20240119,-21.420000000012806,-442.60999999998603,83.69999999999709,-380.33000000000175,332
False,False,True,20240120,7.759999999994761,-402.2299999999814,138.52999999998428,-255.94000000000233,840
False,True,False,20240101,-3.529999999998836,-562.0900000000256,45.610000000015134,-520.0100000000093,0
False,True,False,20240102,-215.88999999999942,-892.4699999999866,95.29999999998836,-1013.0599999999977,0
False,True,False,20240103,-103.77999999999884,-729.7599999999948,104.08999999999651,-729.4499999999971,0
False,True,False,20240104,-178.38000000000466,-762.0900000000111,21.660000000018044,-918.8099999999977,0
False,True,False,20240105,8.309999999997672,-913.2100000000064,69.99000000000524,-834.9100000000035,0
False,True,False,20240106,-20.94999999999709,-1223.140000000014,89.20000000001164,-1154.8899999999994,0
False,True,False,20240107,-5.650000000008731,-1025.6900000000023,62.24000000001979,-969.0999999999913,0
False,True,False,20240108,-23.039999999993597,-601.9199999999983,65.28999999997905,-559.6700000000128,0
False,True,False,20240109,-16.720000000001164,-429.68000000000757,78.51000000000931,-367.8899999999994,0
False,True,False,20240110,47.329999999987194,-651.5800000000017,80.84000000001106,-523.4100000000035,0
False,True,False,20240111,14.10000000000582,-1487.160000000018,85.56000000001222,-1387.5,0
False,True,False,20240112,-220.60000000000582,-1180.75,8.880000000004657,-1392.4700000000012,0
False,True,False,20240113,-4.759999999994761,-674.3699999999808,32.87999999997555,-646.25,0
False,True,False,20240114,-14.69999999999709,-581.5500000000029,-6.970000000001164,-603.2200000000012,0
False,True,False,20240115,4.870000000009895,-539.5099999999948,-0.010000000009313226,-534.6499999999942,0
False,True,False,20240116,9.270000000004075,-488.5,50.10000000000582,-429.1299999999901,0
False,True,False,20240117,6.240000000005239,-1486.8499999999913,-4.960000000006403,-1485.5699999999924,0
False,True,False,20240118,-25.30999999999767,-352.41999999999825,-11.480000000010477,-389.2100000000064,0
False,True,False,20240119,-33.5399999999936,-746.3300000000017,31.89999999999418,-747.9700000000012,0
False,True,False,20240120,2.0500000000029104,-1045.2600000000093,147.91999999999825,-895.2900000000081,0
False,True,True,20240101,-3.529999999998836,-197.98000000001048,55.76000000000931,-145.75,43
False,True,True,20240102,35.870000000009895,-488.2399999999907,68.04999999998836,-384.31999999999243,758
False,True,True,20240103,1.1199999999953434,-444.6299999999901,31.25999999999476,-412.25,163
False,True,True,20240104,-4.759999999994761,-482.41000000001804,-30.379999999990105,-517.5500000000029,370
False,True,True,20240105,8.309999999997672,-432.40000000000873,20.24000000000524,-403.8500000000058,594
False,True,True,20240106,-2.429999999993015,-327.1000000000058,83.55000000000291,-245.97999999999593,541
False,True,True,20240107,-5.650000000008731,-413.6900000000169,-0.7299999999813735,-420.070000000007,629
False,True,True,20240108,-3.3000000000029104,-568.6899999999878,139.81999999999243,-432.16999999999825,238
False,True,True,20240109,-30.020000000004075,-431.8899999999994,33.020000000004075,-428.8899999999994,125
False,True,True,20240110,11.819999999992433,-341.22000000000116,71.09000000001106,-258.3099999999977,297
False,True,True,20240111,14.10000000000582,-1167.340000000011,70.36000000000058,-1082.8800000000047,386
False,True,True,20240112,9.070000000006985,-482.3500000000058,126.32000000000698,-346.95999999999185,221
False,True,True,20240113,-4.759999999994761,-351.4799999999814,53.82999999997264,-302.4100000000035,311
False,True,True,20240114,-5.7700000000040745,-520.9699999999866,-46.620000000009895,-573.3600000000006,309
False,True,True,20240115,4.870000000009895,-415.3100000000122,73.2100000000064,-337.2299999999959,390
False,True,True,20240116,9.270000000004075,-222.3700000000099,65.02000000000407,-148.08000000000175,273
False,True,True,20240117,6.240000000005239,-274.58000000000175,18.84999999999127,-249.49000000000524,727
False,True,True,20240118,-25.30999999999767,-245.7199999999866,-4.580000000016298,-275.6100000000006,351
False,True,True,20240119,-21.420000000012806,-238.64999999999418,50.29000000000815,-209.77999999999884,432
False,True,True,20240120,7.759999999994761,-471.0399999999936,142.47000000000116,-320.8099999999977,485
True,False,False,20240101,-11.319999999992433,64.85000000000582,80.51999999998952,134.0500000000029,0
True,False,False,20240102,-61.59999999999127,-1125.3399999999965,67.3799999999901,-1119.5599999999977,0
True,False,False,20240103,-96.77000000000407,-749.9199999999837,97.42999999997846,-749.2600000000093,0
True,False,False,20240104,-71.43999999998778,-556.7300000000105,286.7399999999907,-341.43000000000757,0
True,False,False,20240105,7.6600000000034925,-841.7600000000093,147.5500000000029,-686.5500000000029,0
True,False,False,20240106,-73.27000000000407,-573.5,161.22999999999593,-485.54000000000815,0
True,False,False,20240107,-51.73000000001048,-958.9699999999866,-24.850000000020373,-1035.5500000000175,0
True,False,False,20240108,-65.48999999999069,-563.8099999999977,267.5999999999767,-361.70000000001164,0
True,False,False,20240109,-12.889999999999418,-50.160000000018044,128.5900000000256,65.54000000000815,0
True,False,False,20240110,-51.35000000000582,-685.4700000000157,-1029.8999999999796,-1766.7200000000012,0
True,False,False,20240111,23.0,-2013.7899999999936,139.7199999999866,-1851.070000000007,0
True,False,False,20240112,-169.27999999999884,-1057.7899999999936,87.49999999998545,-1139.570000000007,0
True,False,False,20240113,-15.820000000006985,-1105.4599999999919,90.89000000001397,-1030.3899999999849,0
True,False,False,20240114,-28.360000000000582,-444.1899999999878,98.61999999999534,-373.929999999993,0
True,False,False,20240115,-5.360000000000582,-466.9400000000023,123.67999999999302,-348.6200000000099,0
True,False,False,20240116,12.289999999993597,-256.2699999999895,145.09000000001106,-98.88999999998487,0
True,False,False,20240117,16.180000000007567,-645.0300000000134,128.77999999999884,-500.070000000007,0
True,False,False,20240118,-63.80000000000291,-41.69999999998254,-8.349999999991269,-113.84999999997672,0
True,False,False,20240119,-49.01000000000931,-345.8999999999942,81.80000000000291,-313.1100000000006,0
True,False,False,20240120,12.639999999999418,-1856.4399999999878,102.02999999999884,-1741.7699999999895,0
