gamma,k,seed,pnl_usd,return_pct,sharpe,max_drawdown_pct,inv_max,inv_final,spread_mean,spread_std
0.5,200.0,20240102,7.289999999999964,0.007289999999993135,0.0011019292928056417,-0.22573523663158682,403,80,2.996918767507003,0.06255096018556744
0.5,200.0,20240103,212.55999999999995,0.21256000000000608,0.04484714412601845,-0.1151069008346949,292,19,2.9990196078431373,0.04582764786974433
1.0,20.0,20240101,97.29000000000087,0.09729000000000543,0.015493284325169459,-0.03109196894442747,149,-107,10.732633053221289,0.44261642629523795
1.0,20.0,20240102,-130.1700000000019,-0.13016999999999612,-0.015681135009661427,-0.21220954150163027,283,-283,10.730392156862745,0.4632456890478932
0.5,200.0,20240104,99.88999999999987,0.09988999999999137,0.018743883176743446,-0.15406645755836784,340,-22,2.9977591036414566,0.04728834881491454
1.0,50.0,20240101,153.79000000000087,0.1537899999999981,0.02949798477615934,-0.023880395305007743,306,114,4.934033613445378,0.2565652399696089
1.0,20.0,20240104,137.51999999999998,0.13752000000000209,0.022341615888055947,-0.0476537996412449,187,-32,10.684453781512605,0.47105226089071117
1.0,20.0,20240103,-62.59999999999991,-0.06260000000000154,-0.007159175879503653,-0.1006157729297124,210,-8,10.77703081232493,0.4327652501788146
1.0,50.0,20240104,-237.90999999999985,-0.23791000000000784,-0.03203448508222493,-0.362445745374495,285,178,4.96078431372549,0.24342297068903568
1.0,50.0,20240102,-199.04999999999927,-0.19905000000000062,-0.02722312551089849,-0.33275361716098156,244,184,4.954901960784314,0.24355494792549942
1.0,50.0,20240103,121.78000000000065,0.12178000000000466,0.022816583146641096,-0.10299073083422491,240,108,4.951820728291317,0.25257500887353806
1.0,100.0,20240101,209.85000000000014,0.20985000000000031,0.04494413589233023,-0.03241681666861595,284,13,2.9976190476190476,0.05912885330218625
1.0,100.0,20240103,130.46000000000004,0.13046000000001,0.025394458778590773,-0.1531725689616545,417,14,3.0047619047619047,0.1317068735929572
1.0,100.0,20240102,-14.599999999999454,-0.01460000000000905,-0.002070315255529429,-0.26943463515749627,302,-38,3.0095238095238095,0.16542100819638292
1.0,200.0,20240101,209.85000000000014,0.20985000000000031,0.04494413589233023,-0.03241681666861595,284,13,2.9970588235294118,0.05415659449235203
1.0,100.0,20240104,-246.60000000000014,-0.24660000000000792,-0.03779559848436032,-0.36313808016275195,456,13,3.007563025210084,0.10949565174104801
1.0,200.0,20240102,-78.89000000000033,-0.07888999999999813,-0.011018873846991059,-0.2668352657645197,352,52,3.0021008403361344,0.10247565035220939
5.0,20.0,20240101,119.29000000000087,0.11929000000001633,0.036025314678181125,-0.016522014135405796,138,-49,9.970728291316526,0.16940781347932632
1.0,200.0,20240104,-236.4699999999998,-0.23646999999999974,-0.036135604630765455,-0.3891857905689956,324,34,2.9977591036414566,0.05016312605224223
1.0,200.0,20240103,112.76999999999953,0.11277000000000648,0.022315436740542368,-0.1531725689616545,337,-51,2.9985994397759104,0.08533446830141748
5.0,20.0,20240102,-400.9100000000003,-0.40090999999999877,-0.06416574081603614,-0.5670189099276971,167,-27,10.01498599439776,0.3346281172158289
5.0,20.0,20240104,76.60000000000218,0.07660000000000444,0.01887818996085104,-0.02771350588837595,172,172,9.975770308123248,0.2496133060077419
5.0,20.0,20240103,51.039999999999964,0.051040000000002195,0.014249260499376736,-0.02531842441635859,133,58,10.00280112044818,0.5183215524825296
5.0,50.0,20240102,-4704.639999999999,-4.704640000000005,-0.3760786171713003,-4.778749436646251,247,247,5.086694677871148,0.9850639719181812
5.0,50.0,20240101,-5898.030000000001,-5.8980299999999986,-0.4239437579490084,-5.985394424140034,271,98,5.132212885154062,0.5857234876459954
5.0,50.0,20240103,-5743.63,-5.74363,-0.405058064183077,-5.792742615898749,345,-19,5.175630252100841,0.7843331877192432
5.0,100.0,20240101,-6322.119999999999,-6.322119999999998,-0.449421221444712,-6.394190244882826,384,79,3.276610644257703,0.5473380395008799
5.0,50.0,20240104,-6342.219999999999,-6.342219999999998,-0.46642966512949097,-6.3723819321660855,304,117,5.125350140056023,0.5537139974879884
5.0,100.0,20240102,-6766.71,-6.766710000000009,-0.497516758509753,-6.869383487565905,211,-30,3.272829131652661,0.8482349736976261
5.0,100.0,20240103,-6690.290000000001,-6.69029000000001,-0.4946317331380953,-6.76913967190534,277,23,3.2903361344537814,0.7028978890263637
5.0,200.0,20240101,-13832.1,-13.832100000000002,-0.47781900298075436,-13.878269512084154,194,99,3.115686274509804,0.4254877209838947
5.0,100.0,20240104,-11763.640000000001,-11.763639999999997,-0.3927578065932743,-11.794923226248406,292,94,3.4977591036414566,0.8169794405684668
5.0,200.0,20240104,-10648.970000000001,-10.648970000000002,-0.5353441260567966,-10.68102113824194,258,131,3.0292717086834733,0.2321909184704183
5.0,200.0,20240102,-6638.85,-6.638850000000007,-0.5036121256884152,-6.692456410074918,283,-59,3.0554621848739494,0.6831816848880349
5.0,200.0,20240103,-13599.75,-13.59975,-0.425270130849489,-13.658425671158634,219,-35,3.1581232492997198,0.7502606216214992
