gamma,k,seed,pnl_usd,return_pct,sharpe,max_drawdown_pct,inv_max,inv_final,spread_mean,spread_std
1.0,10.0,20240102,-1211.1499999999942,-1.2111499999999942,-0.06794494586732434,-1.27925,250,-227,20.091316526610644,0.4168434442542787
1.0,10.0,20240103,169.65000000002328,0.16965000000002117,0.024121315149575127,-0.08640391801518621,200,-155,20.05574229691877,0.2294394607459795
1.0,10.0,20240105,-283.4100000000035,-0.28341000000000616,-0.028712035328224004,-0.34246164609464214,212,212,20.07170868347339,0.25802300777217313
1.0,50.0,20240102,-5424.6600000000035,-5.424660000000003,-0.19738865079251033,-5.481424021376761,1000,-87,5.2023809523809526,3.071874671416732
1.0,50.0,20240101,-3794.4000000000233,-3.79440000000002,-0.18781033771227018,-3.810966463495121,902,-418,4.956022408963586,0.20709878234091247
1.0,50.0,20240105,-3941.469999999972,-3.941469999999969,-0.17431094559483207,-3.9876757923775124,846,624,4.971008403361345,0.1822024981019241
1.0,50.0,20240103,-5352.609999999986,-5.352609999999991,-0.17144081102360162,-5.359239999999991,1304,-589,4.98781512605042,0.2719402913457382
1.0,50.0,20240104,-4311.409999999974,-4.311409999999971,-0.17983790160243263,-4.320070000000007,889,338,4.964705882352941,0.21405505388825355
5.0,5.0,20240103,-68.43000000000757,-0.0684300000000082,-0.016623894943567977,-0.1348602909344675,100,-67,28.266946778711485,0.4545761838265999
5.0,5.0,20240101,-799.4799999999996,-0.7994799999999969,-0.08340864536804803,-0.8197874586588718,86,25,28.72983193277311,0.707932936829437
5.0,5.0,20240102,-1724.6200000000026,-1.724619999999999,-0.12340755792435568,-1.7422600000000092,191,-49,29.11904761904762,1.836151932289182
5.0,5.0,20240105,25.87999999999738,0.02588000000001145,0.004779201594452113,-0.07106475426004813,100,46,28.665546218487396,0.5042645381502662
5.0,10.0,20240101,-2741.5399999999936,-2.741539999999998,-0.22263898546008765,-2.805092608425814,119,70,17.497899159663866,0.8150916208528349
5.0,5.0,20240104,-736.1900000000023,-0.7361900000000032,-0.09480701728728462,-0.7399321045596645,100,82,28.968067226890756,0.5149018088661669
5.0,10.0,20240104,-821.3000000000175,-0.8213000000000137,-0.08717843151948518,-0.8294900000000053,171,131,17.380112044817928,0.622271425652552
5.0,10.0,20240102,-793.1100000000006,-0.7931099999999969,-0.08216462459157188,-0.8472043745331639,129,-129,17.451820728291317,2.295095666175516
5.0,10.0,20240103,-5559.279999999999,-5.559279999999999,-0.12668044011998056,-5.584436622535102,200,-156,18.351120448179273,6.396007704729559
