gamma,k,seed,pnl_usd,return_pct,sharpe,max_drawdown_pct,inv_max,inv_final,spread_mean,spread_std
1.0,20.0,20240104,-764.789999999979,-0.7647899999999819,-0.061394419000684916,-0.8384206780702194,344,278,10.77436974789916,0.4196980724712421
1.0,20.0,20240103,-1770.9799999999814,-1.7709799999999776,-0.09084072045939931,-1.8306907927622202,581,-484,10.816666666666666,0.39697283351109564
1.0,50.0,20240104,-4404.459999999992,-4.404459999999988,-0.17775809819804028,-4.45793848044897,1076,193,4.975070028011205,0.17376723058525406
1.0,50.0,20240102,-4486.22000000003,-4.48622000000003,-0.16466264658305224,-4.623968245150475,1008,-313,5.256862745098039,3.7455658750020104
1.0,50.0,20240103,-6624.640000000014,-6.624640000000015,-0.1283574645153606,-6.661981265058463,1302,-607,4.983333333333333,0.29015133076119826
1.0,100.0,20240103,-5167.97,-5.1679699999999995,-0.17440064088008783,-5.1984358074721335,1296,3,3.0105042016806722,0.11365157671600319
1.0,100.0,20240101,-5278.340000000001,-5.278339999999993,-0.1883732695245898,-5.281384372312544,1773,-9,3.0019607843137255,0.08854598056212884
1.0,100.0,20240102,-4994.880000000005,-4.994880000000002,-0.2214827683372569,-5.068677847390982,970,121,3.2401960784313726,3.169247979135647
1.0,200.0,20240101,-4708.299999999999,-4.708299999999999,-0.2123760942425414,-4.711205775884485,1467,-26,2.995658263305322,0.0678501498146705
1.0,200.0,20240102,-4919.850000000006,-4.919850000000004,-0.21104472735993396,-4.993404460505272,870,215,3.219047619047619,3.1166203694865025
1.0,100.0,20240104,-4695.800000000047,-4.69580000000005,-0.2008380131821123,-4.695800000000046,1261,545,3.003361344537815,0.08527973442869781
5.0,20.0,20240101,-4070.610000000015,-4.070610000000019,-0.24207052385260247,-4.2399243636683375,292,178,10.544117647058824,1.9704037547876887
1.0,200.0,20240104,-5052.870000000024,-5.05287000000002,-0.2322629914858104,-5.0532500000000296,1338,249,2.9980392156862745,0.04424040865740859
1.0,200.0,20240103,-5556.720000000001,-5.556720000000004,-0.21514726571832402,-5.591303465447232,1326,131,2.9988795518207283,0.04426966672418967
5.0,20.0,20240104,-3689.269999999997,-3.689269999999989,-0.27045026536438677,-3.769873192947268,226,43,10.225910364145658,0.7307895116627084
5.0,20.0,20240102,-8484.439999999999,-8.484440000000005,-0.14174538760403263,-8.614463470106362,192,-29,13.58095238095238,19.90540104666019
5.0,20.0,20240103,-14776.389999999956,-14.77638999999995,-0.266015098521217,-14.80988703388982,357,-297,11.554481792717088,3.9508431845591994
5.0,50.0,20240103,-14359.330000000016,-14.359330000000014,-0.35044473313020924,-14.382446739380384,665,-302,6.004901960784314,2.208390716053598
5.0,50.0,20240101,-8733.539999999979,-8.733539999999984,-0.4670660352548914,-8.73843523129536,438,-275,5.420868347338936,1.0135854469268732
5.0,50.0,20240102,-13716.789999999994,-13.716789999999989,-0.30628893992627093,-13.812845974832207,355,-129,7.2138655462184875,18.676762658816777
5.0,100.0,20240102,-19225.26000000001,-19.22526000000001,-0.3044135134796734,-19.285965025704183,406,283,5.769747899159664,16.220239119732646
5.0,100.0,20240101,-18495.91,-18.495910000000006,-0.41106462612549083,-18.501009979800408,468,6,4.334453781512605,2.039919728546719
5.0,50.0,20240104,-16125.540000000037,-16.125540000000036,-0.3797405059053115,-16.13753730198524,833,542,5.950840336134454,1.9400507066465045
5.0,200.0,20240101,-9167.050000000003,-9.16705,-0.4824409854441372,-9.169866602667936,542,-135,3.1556022408963584,0.5913090871335437
5.0,100.0,20240103,-21726.410000000003,-21.72641000000001,-0.343894615344732,-21.755522686340214,536,97,5.0626050420168065,5.313547630558946
5.0,100.0,20240104,-18412.5,-18.412499999999998,-0.3457288531317901,-18.412590000000026,662,388,4.48781512605042,3.5853497938322736
5.0,200.0,20240102,-18115.54999999999,-18.115549999999992,-0.3099896124442067,-18.177089011354553,441,441,5.60266106442577,17.782903306619406
5.0,200.0,20240104,-19117.0,-19.116999999999994,-0.3860886875159729,-19.117,684,336,3.8739495798319328,2.386770590345526
5.0,200.0,20240103,-23952.239999999998,-23.952239999999993,-0.3504646042400768,-23.97492453215936,537,4,4.459663865546219,4.004783930001075
